CAC84851	1	9.00303
AFI41460	1	6.68058
SEF68642	39	177.667
ACY38036	1	6.35266
AFI41593	1	6.91865
AAB38709	390	20.5263
AFL48484	1	8.41806
BAB84331	3	15.4286
AAB70814	26	92.625
AFL48359	1	7.90429
ACJ54085	2	11.9583
CAD62405	1	9.92173
ABN12981	2	10.9524
ABR29000	2	11.2689
AAB65662	7	25.6875
ABN04012	1	5.23824
BAA92239	4	24.3158
AAC25057	22	75.0667
AFL48409	1	8.23956
ABN13018	15	48.125
ABB69919	11	32.9583
AFI41663	2	13.1571
ABB69924	1	5.16848
ABR28934	1	6.0554
AGC92899	2	14.0847
ABN13031	1	5.69975
AAB48534	1	5.0344
ABR28957	1	6.15135
AFL48355	1	7.59519
KFI21872	1	10.4547
CAD62111	2	15.12
KIO48008	9	30.5934
ABM54175	20	63.0952
ABN13101	39	119.294
ABN13032	7	26.9333
AAB38710	8	28.619
CAD62114	1	9.21645
AEJ02636	4	19.3
AFL48404	1	8.06845
ABN12956	5	23.8889
AFL48324	1	7.30932
ABN12963	1	5.38355
ACJ54124	1	6.25038
AGC92918	1	8.79924
CAD62102	6	24.5882
AAO60369	14	43.0505
AFL48358	1	7.74667
ABM54174	17	54.5934
AFL48430	2	13.6071
AGC92913	2	14.5897
ABN12975	1	5.45927
ACJ54084	2	11.6037
AFI41643	1	7.17429
ADZ75355	12	35.697
ABN11243	1	5.3099
AFI41756	3	16.0909
AAL86638	2	10.6528
ABN13014	1	5.61727
CAD62122	12	39
AFI41621	1	7.04416
ABN13056	1	5.8722
CAD62423	1	10.1813
ABN13040	3	15.8261
AFI41603	2	12.3343
ABN13089	1	5.96239
CAD62390	1	9.675
AFI41578	1	6.79753
ADZ75344	1	6.56758
ADE13856	1	6.45833
AFL48342	1	7.44952
CAD62142	1	9.44019
ABN12978	3	15.375
AFI41610	2	12.7333
AGC92912	1	8.60444
AAL86637	1	5.10056
ABN13054	1	5.78469
ABN12996	1	5.53714
